Symbol,Name,Error,TotalScore,Growth,Profitability,Stability,Activity,Price,MarketCap,EPS,PreviousEPS,LatestQuarterEPS,PreviousQuarterEPS,SameQuarterLastYearEPS,EPS_Growth,PreviousQuarterEPSGrowth,SameQuarterLastYearEPSGrowth,LatestBPS,PER,PBR,ROE,PEG,Raw_Adjusted_Growth,Adjusted_EPS_Growth,Raw_PEG,Adjusted_PEG,EPS_Base_Flag,Links
476060,온코닉테라퓨틱스,,91.93333333333332,87.4,88.8,99.6,,19530.0,8868.0,448.0,,141.0,103.0,41.0,,36.89320388349515,243.90243902439025,1751.0,43.59375,11.153626499143346,25.585379782981153,,,,,,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/476060/total"" target=""_blank"">Naver Mobile</a>"
458870,씨어스테크놀로지,,88.64999999999999,100.0,88.7,92.2,73.7,36950.0,14063.0,799.0,-250.0,361.0,222.0,-16.0,419.59999999999997,62.612612612612615,2356.25,1423.0,46.24530663329161,25.96626844694308,56.14898102600141,0.11021283754359298,419.59999999999997,419.59999999999997,0.11021283754359298,0.11021283754359298,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/458870/total"" target=""_blank"">Naver Mobile</a>"
098070,한텍,,86.53333333333335,,80.3,92.3,87.0,36250.0,4031.0,3490.0,,723.0,395.0,,,83.0379746835443,,14954.0,10.386819484240688,2.424100575096964,23.33823726093353,,,,,,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/098070/total"" target=""_blank"">Naver Mobile</a>"
006910,보성파워텍,,86.1,91.7,77.2,96.0,79.5,11430.0,5616.0,491.0,120.0,100.0,78.0,23.0,309.1666666666667,28.205128205128204,334.7826086956522,2333.0,23.279022403258654,4.899271324474925,21.045863694813544,0.07529602933668567,309.1666666666667,309.1666666666667,0.07529602933668567,0.07529602933668567,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/006910/total"" target=""_blank"">Naver Mobile</a>"
439260,대한조선,,85.53333333333335,,86.8,83.4,86.4,69400.0,26737.0,8466.0,,2009.0,2043.0,,,-1.6642192853646598,,29442.0,8.197495865816206,2.357176822226751,28.754840024454857,,,,,,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/439260/total"" target=""_blank"">Naver Mobile</a>"
047080,한빛소프트,,85.525,82.7,86.3,86.4,86.7,1277.0,317.0,303.0,91.0,113.0,147.0,19.0,232.967032967033,-23.12925170068027,494.7368421052632,921.0,4.214521452145214,1.3865363735070575,32.89902280130293,0.018090634535151626,232.967032967033,232.967032967033,0.018090634535151626,0.018090634535151626,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/047080/total"" target=""_blank"">Naver Mobile</a>"
143540,영우디에스피,,84.225,100.0,77.1,77.0,82.8,1428.0,637.0,232.0,-78.0,95.0,112.0,-12.0,397.43589743589746,-15.178571428571427,891.6666666666666,771.0,6.155172413793103,1.8521400778210118,30.090791180285343,0.015487208008898775,397.43589743589746,397.43589743589746,0.015487208008898775,0.015487208008898775,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/143540/total"" target=""_blank"">Naver Mobile</a>"
278470,에이피알,,84.2,90.1,81.2,90.8,74.7,404000.0,151250.0,9535.0,3565.0,3132.0,2638.0,1334.0,167.46143057503505,18.72630780894617,134.7826086956522,13531.0,42.37021499737808,29.8573645702461,70.46781464784569,0.2530147679491673,167.46143057503505,167.46143057503505,0.2530147679491673,0.2530147679491673,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/278470/total"" target=""_blank"">Naver Mobile</a>"
252990,샘씨엔에스,,83.775,98.3,81.3,90.9,64.6,11720.0,7058.0,360.0,63.0,130.0,88.0,20.0,471.42857142857144,47.72727272727273,550.0,3073.0,32.55555555555556,3.813862674910511,11.71493654409372,0.06905723905723905,471.42857142857144,471.42857142857144,0.06905723905723905,0.06905723905723905,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/252990/total"" target=""_blank"">Naver Mobile</a>"
457550,우진엔텍,,83.775,77.4,73.4,98.4,85.9,24050.0,2241.0,706.0,501.0,183.0,159.0,46.0,40.91816367265469,15.09433962264151,297.82608695652175,5516.0,34.065155807365436,4.360043509789703,12.799129804205947,0.8325191736336626,40.91816367265469,40.91816367265469,0.8325191736336626,0.8325191736336626,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/457550/total"" target=""_blank"">Naver Mobile</a>"
