Symbol,Name,TotalScore,Growth,Profitability,Stability,Momentum,Price,PER,EPS,EPS_Growth,PEG,Links,Error
402340,SK스퀘어,79.29305555555557,83.3,82.78333333333335,76.7888888888889,74.3,558000.0,10.58,52740.0,313.4861845972957,0.033749493661390746,"<a href=""https://m.stock.naver.com/domestic/stock/402340/total"" target=""_blank"">Naver Mobile</a>",
005930,삼성전자,70.44375000000001,68.0,66.49166666666666,86.80833333333332,60.475,181200.0,37.62,4816.0,1.4842994792478719,25.345289495798315,"<a href=""https://m.stock.naver.com/domestic/stock/005930/total"" target=""_blank"">Naver Mobile</a>",
000660,SK하이닉스,65.65625,75.78333333333333,68.725,69.13333333333334,48.98333333333333,880000.0,17.95,49038.0,242.2425032594524,0.07409930032292787,"<a href=""https://m.stock.naver.com/domestic/stock/000660/total"" target=""_blank"">Naver Mobile</a>",
