Symbol,Name,TotalScore,Growth,Profitability,Stability,Activity,Error,Links
475660,에스켐,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/475660/total"" target=""_blank"">Naver Mobile</a>"
381620,제닉스,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/381620/total"" target=""_blank"">Naver Mobile</a>"
464280,티디에스팜,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/464280/total"" target=""_blank"">Naver Mobile</a>"
163280,에어레인,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/163280/total"" target=""_blank"">Naver Mobile</a>"
466410,사이냅소프트,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/466410/total"" target=""_blank"">Naver Mobile</a>"
482520,교보16호스팩,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/482520/total"" target=""_blank"">Naver Mobile</a>"
482690,대신밸런스제19호스팩,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/482690/total"" target=""_blank"">Naver Mobile</a>"
492220,KB제31호스팩,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/492220/total"" target=""_blank"">Naver Mobile</a>"
489730,디비금융제13호스팩,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/489730/total"" target=""_blank"">Naver Mobile</a>"
465480,인스피언,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/465480/total"" target=""_blank"">Naver Mobile</a>"
475580,에이럭스,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/475580/total"" target=""_blank"">Naver Mobile</a>"
389680,유디엠텍,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/389680/total"" target=""_blank"">Naver Mobile</a>"
398120,에스지헬스케어,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/398120/total"" target=""_blank"">Naver Mobile</a>"
457370,한켐,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/457370/total"" target=""_blank"">Naver Mobile</a>"
389650,넥스트바이오메디컬,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/389650/total"" target=""_blank"">Naver Mobile</a>"
489500,엘케이켐,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/489500/total"" target=""_blank"">Naver Mobile</a>"
471820,셀로맥스사이언스,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/471820/total"" target=""_blank"">Naver Mobile</a>"
394800,쓰리빌리언,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/394800/total"" target=""_blank"">Naver Mobile</a>"
478780,대신밸런스제18호스팩,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/478780/total"" target=""_blank"">Naver Mobile</a>"
475830,오름테라퓨틱,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/475830/total"" target=""_blank"">Naver Mobile</a>"
469750,아이비젼웍스,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/469750/total"" target=""_blank"">Naver Mobile</a>"
431190,케이쓰리아이,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/431190/total"" target=""_blank"">Naver Mobile</a>"
466100,클로봇,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/466100/total"" target=""_blank"">Naver Mobile</a>"
474170,루미르,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/474170/total"" target=""_blank"">Naver Mobile</a>"
458650,성우,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/458650/total"" target=""_blank"">Naver Mobile</a>"
444530,심플랫폼,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/444530/total"" target=""_blank"">Naver Mobile</a>"
226590,엠디바이스,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/226590/total"" target=""_blank"">Naver Mobile</a>"
456070,이엔셀,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/456070/total"" target=""_blank"">Naver Mobile</a>"
478560,블랙야크아이앤씨,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/478560/total"" target=""_blank"">Naver Mobile</a>"
487360,신한제14호스팩,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/487360/total"" target=""_blank"">Naver Mobile</a>"
044990,에이치엔에스하이텍,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/044990/total"" target=""_blank"">Naver Mobile</a>"
487720,키움제10호스팩,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/487720/total"" target=""_blank"">Naver Mobile</a>"
473980,노머스,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/473980/total"" target=""_blank"">Naver Mobile</a>"
473950,에스케이증권제13호스팩,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/473950/total"" target=""_blank"">Naver Mobile</a>"
487830,신한제15호스팩,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/487830/total"" target=""_blank"">Naver Mobile</a>"
475960,토모큐브,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/475960/total"" target=""_blank"">Naver Mobile</a>"
484130,하나34호스팩,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/484130/total"" target=""_blank"">Naver Mobile</a>"
464500,아이언디바이스,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/464500/total"" target=""_blank"">Naver Mobile</a>"
387570,파인메딕스,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/387570/total"" target=""_blank"">Naver Mobile</a>"
478110,이베스트스팩6호,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/478110/total"" target=""_blank"">Naver Mobile</a>"
450950,아스테라시스,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/450950/total"" target=""_blank"">Naver Mobile</a>"
