Symbol,Name,TotalScore,Growth,Profitability,Stability,Activity,Links
036930,주성엔지니어링,82.175,94.3,75.4,85.5,73.5,"<a href=""https://m.stock.naver.com/domestic/stock/036930/total"" target=""_blank"">Naver Mobile</a>"
179290,엠아이텍,82.15,95.9,93.9,91.0,47.8,"<a href=""https://m.stock.naver.com/domestic/stock/179290/total"" target=""_blank"">Naver Mobile</a>"
004590,한국가구,81.075,100.0,75.6,98.2,50.5,"<a href=""https://m.stock.naver.com/domestic/stock/004590/total"" target=""_blank"">Naver Mobile</a>"
092460,한라IMS,81.025,100.0,70.2,98.8,55.1,"<a href=""https://m.stock.naver.com/domestic/stock/092460/total"" target=""_blank"">Naver Mobile</a>"
178780,일월지엠엘,80.95,100.0,78.8,69.6,75.4,"<a href=""https://m.stock.naver.com/domestic/stock/178780/total"" target=""_blank"">Naver Mobile</a>"
140860,파크시스템스,80.75,100.0,79.9,94.6,48.5,"<a href=""https://m.stock.naver.com/domestic/stock/140860/total"" target=""_blank"">Naver Mobile</a>"
277070,린드먼아시아,80.65,96.7,87.2,69.9,68.8,"<a href=""https://m.stock.naver.com/domestic/stock/277070/total"" target=""_blank"">Naver Mobile</a>"
326030,SK바이오팜,80.42500000000001,100.0,94.2,82.4,45.1,"<a href=""https://m.stock.naver.com/domestic/stock/326030/total"" target=""_blank"">Naver Mobile</a>"
207940,삼성바이오로직스,79.3,96.5,85.8,88.6,46.3,"<a href=""https://m.stock.naver.com/domestic/stock/207940/total"" target=""_blank"">Naver Mobile</a>"
215090,솔디펜스,79.025,100.0,82.4,88.2,45.5,"<a href=""https://m.stock.naver.com/domestic/stock/215090/total"" target=""_blank"">Naver Mobile</a>"
413630,씨피시스템,78.85000000000001,100.0,72.4,96.4,46.6,"<a href=""https://m.stock.naver.com/domestic/stock/413630/total"" target=""_blank"">Naver Mobile</a>"
007370,진양제약,78.825,96.8,76.0,91.0,51.5,"<a href=""https://m.stock.naver.com/domestic/stock/007370/total"" target=""_blank"">Naver Mobile</a>"
272110,케이엔제이,78.72500000000001,100.0,84.8,81.4,48.7,"<a href=""https://m.stock.naver.com/domestic/stock/272110/total"" target=""_blank"">Naver Mobile</a>"
017510,세명전기,78.3,100.0,94.0,78.7,40.5,"<a href=""https://m.stock.naver.com/domestic/stock/017510/total"" target=""_blank"">Naver Mobile</a>"
171090,선익시스템,77.85,100.0,86.1,48.8,76.5,"<a href=""https://m.stock.naver.com/domestic/stock/171090/total"" target=""_blank"">Naver Mobile</a>"
136410,아셈스,77.175,99.0,77.9,85.1,46.7,"<a href=""https://m.stock.naver.com/domestic/stock/136410/total"" target=""_blank"">Naver Mobile</a>"
025560,미래산업,75.975,99.5,90.1,68.9,45.4,"<a href=""https://m.stock.naver.com/domestic/stock/025560/total"" target=""_blank"">Naver Mobile</a>"
347700,스피어,73.7,100.0,87.3,59.3,48.2,"<a href=""https://m.stock.naver.com/domestic/stock/347700/total"" target=""_blank"">Naver Mobile</a>"
