Symbol,Name,TotalScore,Growth,Profitability,Stability,Activity,Error,Links
036220,오상헬스케어,98.08829057599445,100.0,100.0,90.64360031697235,80.47861088594436,,"<a href=""https://m.stock.naver.com/domestic/stock/036220/total"" target=""_blank"">Naver</a>"
336570,원텍,97.18842383504614,100.0,100.0,93.18400889725977,57.4004589064031,,"<a href=""https://m.stock.naver.com/domestic/stock/336570/total"" target=""_blank"">Naver</a>"
090850,현대이지웰,96.74661948264453,100.0,96.64672190159008,82.60108983748177,86.49660046997663,,"<a href=""https://m.stock.naver.com/domestic/stock/090850/total"" target=""_blank"">Naver</a>"
035900,JYP Ent.,96.32475115017677,96.3536818514034,97.82735415345051,98.31759447765228,84.47888106413734,,"<a href=""https://m.stock.naver.com/domestic/stock/035900/total"" target=""_blank"">Naver</a>"
148930,에이치와이티씨,95.22348589950711,99.40145703785284,90.50178630574415,94.18963768170237,70.76402664378256,,"<a href=""https://m.stock.naver.com/domestic/stock/148930/total"" target=""_blank"">Naver</a>"
383310,에코프로에이치엔,94.9903575528067,97.38297406388608,92.75993827885502,88.72624520454244,89.95928048614144,,"<a href=""https://m.stock.naver.com/domestic/stock/383310/total"" target=""_blank"">Naver</a>"
335890,비올,94.69721165629583,95.14390959631254,100.0,99.56144024781567,53.094437474535056,,"<a href=""https://m.stock.naver.com/domestic/stock/335890/total"" target=""_blank"">Naver</a>"
298380,에이비엘바이오,94.24968879320703,100.0,100.0,57.52402474429386,69.94572637555277,,"<a href=""https://m.stock.naver.com/domestic/stock/298380/total"" target=""_blank"">Naver</a>"
417010,나노팀,93.27919715953605,100.0,77.69135552303167,98.84576032972546,79.43564491611176,,"<a href=""https://m.stock.naver.com/domestic/stock/417010/total"" target=""_blank"">Naver</a>"
122870,와이지엔터테인먼트,93.15633490577997,98.6524786818291,81.39324177291208,93.38127359592136,85.56819787724712,,"<a href=""https://m.stock.naver.com/domestic/stock/122870/total"" target=""_blank"">Naver</a>"
340570,티앤엘,93.01689382212912,92.27397804423833,96.88142192670885,99.56949028142908,69.5040497153197,,"<a href=""https://m.stock.naver.com/domestic/stock/340570/total"" target=""_blank"">Naver</a>"
272110,케이엔제이,91.77291592908749,94.80858114328578,92.1938807642473,88.6379519055819,59.51003722991992,,"<a href=""https://m.stock.naver.com/domestic/stock/272110/total"" target=""_blank"">Naver</a>"
225570,넥슨게임즈,91.1555470445184,99.97867442754419,71.92893454534851,98.34973938032233,67.02269627245036,,"<a href=""https://m.stock.naver.com/domestic/stock/225570/total"" target=""_blank"">Naver</a>"
241790,티이엠씨씨엔에스,91.07978014946057,94.36351575914985,83.43078555806748,94.66948251589126,82.74052105729328,,"<a href=""https://m.stock.naver.com/domestic/stock/241790/total"" target=""_blank"">Naver</a>"
168360,펨트론,90.90007607057848,96.94291361320946,84.85638477986208,80.40818628053675,69.5882615926724,,"<a href=""https://m.stock.naver.com/domestic/stock/168360/total"" target=""_blank"">Naver</a>"
