Symbol,Name,TotalScore,Growth,Profitability,Stability,Activity,Links
123330,제닉,95.275,100.0,90.2,97.8,93.1,"<a href=""https://m.stock.naver.com/domestic/stock/123330/total"" target=""_blank"">Naver Mobile</a>"
408920,메쎄이상,94.52499999999999,100.0,94.4,98.5,85.2,"<a href=""https://m.stock.naver.com/domestic/stock/408920/total"" target=""_blank"">Naver Mobile</a>"
058470,리노공업,91.6,100.0,96.9,98.8,70.7,"<a href=""https://m.stock.naver.com/domestic/stock/058470/total"" target=""_blank"">Naver Mobile</a>"
003350,한국화장품제조,91.25,96.9,87.1,98.4,82.6,"<a href=""https://m.stock.naver.com/domestic/stock/003350/total"" target=""_blank"">Naver Mobile</a>"
005710,대원산업,91.225,100.0,77.9,98.8,88.2,"<a href=""https://m.stock.naver.com/domestic/stock/005710/total"" target=""_blank"">Naver Mobile</a>"
035900,JYP Ent.,91.1,98.1,85.1,97.5,83.7,"<a href=""https://m.stock.naver.com/domestic/stock/035900/total"" target=""_blank"">Naver Mobile</a>"
006910,보성파워텍,90.72500000000001,100.0,86.0,96.1,80.8,"<a href=""https://m.stock.naver.com/domestic/stock/006910/total"" target=""_blank"">Naver Mobile</a>"
045340,토탈소프트,90.7,100.0,99.8,88.0,75.0,"<a href=""https://m.stock.naver.com/domestic/stock/045340/total"" target=""_blank"">Naver Mobile</a>"
080010,이상네트웍스,90.30000000000001,100.0,83.3,98.3,79.6,"<a href=""https://m.stock.naver.com/domestic/stock/080010/total"" target=""_blank"">Naver Mobile</a>"
030190,NICE평가정보,89.525,95.4,83.4,97.5,81.8,"<a href=""https://m.stock.naver.com/domestic/stock/030190/total"" target=""_blank"">Naver Mobile</a>"
098120,마이크로컨텍솔,89.45,100.0,82.2,98.8,76.8,"<a href=""https://m.stock.naver.com/domestic/stock/098120/total"" target=""_blank"">Naver Mobile</a>"
403870,HPSP,89.45,100.0,99.7,98.8,59.3,"<a href=""https://m.stock.naver.com/domestic/stock/403870/total"" target=""_blank"">Naver Mobile</a>"
020710,시공테크,89.4,100.0,69.9,97.1,90.6,"<a href=""https://m.stock.naver.com/domestic/stock/020710/total"" target=""_blank"">Naver Mobile</a>"
278470,에이피알,89.15,100.0,90.3,95.7,70.6,"<a href=""https://m.stock.naver.com/domestic/stock/278470/total"" target=""_blank"">Naver Mobile</a>"
204610,티쓰리,88.975,99.4,85.9,94.6,76.0,"<a href=""https://m.stock.naver.com/domestic/stock/204610/total"" target=""_blank"">Naver Mobile</a>"
419530,SAMG엔터,88.65,99.5,80.3,88.4,86.4,"<a href=""https://m.stock.naver.com/domestic/stock/419530/total"" target=""_blank"">Naver Mobile</a>"
083500,에프엔에스테크,88.54999999999998,100.0,74.7,95.1,84.4,"<a href=""https://m.stock.naver.com/domestic/stock/083500/total"" target=""_blank"">Naver Mobile</a>"
003230,삼양식품,88.4,100.0,80.2,89.0,84.4,"<a href=""https://m.stock.naver.com/domestic/stock/003230/total"" target=""_blank"">Naver Mobile</a>"
251970,펌텍코리아,88.22500000000001,98.4,74.5,98.2,81.8,"<a href=""https://m.stock.naver.com/domestic/stock/251970/total"" target=""_blank"">Naver Mobile</a>"
300080,플리토,88.225,100.0,89.5,88.7,74.7,"<a href=""https://m.stock.naver.com/domestic/stock/300080/total"" target=""_blank"">Naver Mobile</a>"
206650,유바이오로직스,88.125,100.0,99.3,96.3,56.9,"<a href=""https://m.stock.naver.com/domestic/stock/206650/total"" target=""_blank"">Naver Mobile</a>"
052420,오성첨단소재,88.025,98.2,81.6,98.8,73.5,"<a href=""https://m.stock.naver.com/domestic/stock/052420/total"" target=""_blank"">Naver Mobile</a>"
339950,아이비김영,87.94999999999999,94.5,87.9,77.8,91.6,"<a href=""https://m.stock.naver.com/domestic/stock/339950/total"" target=""_blank"">Naver Mobile</a>"
