Symbol,Name,TotalScore,Growth,Profitability,Stability,Activity,Links
018290,브이티,92.25,100.0,92.2,96.5,80.3,"<a href=""https://m.stock.naver.com/domestic/stock/018290/total"" target=""_blank"">Naver Mobile</a>"
260970,에스앤디,91.0,100.0,85.2,98.8,80.0,"<a href=""https://m.stock.naver.com/domestic/stock/260970/total"" target=""_blank"">Naver Mobile</a>"
408920,메쎄이상,90.77499999999999,100.0,85.6,98.8,78.7,"<a href=""https://m.stock.naver.com/domestic/stock/408920/total"" target=""_blank"">Naver Mobile</a>"
003230,삼양식품,90.35,100.0,86.2,88.7,86.5,"<a href=""https://m.stock.naver.com/domestic/stock/003230/total"" target=""_blank"">Naver Mobile</a>"
003350,한국화장품제조,89.775,100.0,81.5,96.3,81.3,"<a href=""https://m.stock.naver.com/domestic/stock/003350/total"" target=""_blank"">Naver Mobile</a>"
340570,티앤엘,88.4,100.0,94.4,85.8,73.4,"<a href=""https://m.stock.naver.com/domestic/stock/340570/total"" target=""_blank"">Naver Mobile</a>"
114810,한솔아이원스,88.275,97.1,77.5,97.0,81.5,"<a href=""https://m.stock.naver.com/domestic/stock/114810/total"" target=""_blank"">Naver Mobile</a>"
119850,지엔씨에너지,88.225,98.2,81.2,90.0,83.5,"<a href=""https://m.stock.naver.com/domestic/stock/119850/total"" target=""_blank"">Naver Mobile</a>"
005710,대원산업,87.73333333333333,100.0,66.0,97.2,,"<a href=""https://m.stock.naver.com/domestic/stock/005710/total"" target=""_blank"">Naver Mobile</a>"
014940,오리엔탈정공,87.60000000000001,100.0,77.8,83.3,89.3,"<a href=""https://m.stock.naver.com/domestic/stock/014940/total"" target=""_blank"">Naver Mobile</a>"
339950,아이비김영,87.4,94.6,85.1,75.0,94.9,"<a href=""https://m.stock.naver.com/domestic/stock/339950/total"" target=""_blank"">Naver Mobile</a>"
101490,에스앤에스텍,87.225,96.3,80.2,98.8,73.6,"<a href=""https://m.stock.naver.com/domestic/stock/101490/total"" target=""_blank"">Naver Mobile</a>"
045340,토탈소프트,87.125,100.0,92.8,82.5,73.2,"<a href=""https://m.stock.naver.com/domestic/stock/045340/total"" target=""_blank"">Naver Mobile</a>"
123860,아나패스,86.775,100.0,70.6,90.7,85.8,"<a href=""https://m.stock.naver.com/domestic/stock/123860/total"" target=""_blank"">Naver Mobile</a>"
058970,엠로,86.725,99.4,78.5,87.3,81.7,"<a href=""https://m.stock.naver.com/domestic/stock/058970/total"" target=""_blank"">Naver Mobile</a>"
034950,한국기업평가,86.675,90.9,94.1,86.7,75.0,"<a href=""https://m.stock.naver.com/domestic/stock/034950/total"" target=""_blank"">Naver Mobile</a>"
251970,펌텍코리아,86.65,97.7,69.5,98.3,81.1,"<a href=""https://m.stock.naver.com/domestic/stock/251970/total"" target=""_blank"">Naver Mobile</a>"
259960,크래프톤,86.64999999999999,100.0,93.6,95.3,57.7,"<a href=""https://m.stock.naver.com/domestic/stock/259960/total"" target=""_blank"">Naver Mobile</a>"
319400,현대무벡스,86.575,100.0,69.9,84.5,91.9,"<a href=""https://m.stock.naver.com/domestic/stock/319400/total"" target=""_blank"">Naver Mobile</a>"
030190,NICE평가정보,86.5,88.7,80.3,96.8,80.2,"<a href=""https://m.stock.naver.com/domestic/stock/030190/total"" target=""_blank"">Naver Mobile</a>"
