Symbol,Name,Error,TotalScore,Growth,Profitability,Stability,Activity,Links
443060,HD현대마린솔루션,,93.1,,,93.1,,"<a href=""https://m.stock.naver.com/domestic/stock/443060/total"" target=""_blank"">Naver Mobile</a>"
003230,삼양식품,,90.125,100.0,85.1,88.9,86.5,"<a href=""https://m.stock.naver.com/domestic/stock/003230/total"" target=""_blank"">Naver Mobile</a>"
005430,한국공항,,88.75,100.0,67.8,98.8,88.4,"<a href=""https://m.stock.naver.com/domestic/stock/005430/total"" target=""_blank"">Naver Mobile</a>"
111380,동인기연,,87.6,,,87.6,,"<a href=""https://m.stock.naver.com/domestic/stock/111380/total"" target=""_blank"">Naver Mobile</a>"
002960,한국쉘석유,,87.6,86.2,82.7,98.3,83.2,"<a href=""https://m.stock.naver.com/domestic/stock/002960/total"" target=""_blank"">Naver Mobile</a>"
278470,에이피알,,87.275,99.1,83.6,98.0,68.4,"<a href=""https://m.stock.naver.com/domestic/stock/278470/total"" target=""_blank"">Naver Mobile</a>"
030190,NICE평가정보,,86.375,82.0,80.6,97.6,85.3,"<a href=""https://m.stock.naver.com/domestic/stock/030190/total"" target=""_blank"">Naver Mobile</a>"
134380,미원화학,,86.3,86.2,77.5,98.8,82.7,"<a href=""https://m.stock.naver.com/domestic/stock/134380/total"" target=""_blank"">Naver Mobile</a>"
001380,SG글로벌,,86.25,100.0,78.4,88.7,77.9,"<a href=""https://m.stock.naver.com/domestic/stock/001380/total"" target=""_blank"">Naver Mobile</a>"
003350,한국화장품제조,,86.17500000000001,100.0,74.8,93.8,76.1,"<a href=""https://m.stock.naver.com/domestic/stock/003350/total"" target=""_blank"">Naver Mobile</a>"
000270,기아,,85.95,89.9,75.3,91.3,87.3,"<a href=""https://m.stock.naver.com/domestic/stock/000270/total"" target=""_blank"">Naver Mobile</a>"
272450,진에어,,85.92500000000001,100.0,86.3,60.9,96.5,"<a href=""https://m.stock.naver.com/domestic/stock/272450/total"" target=""_blank"">Naver Mobile</a>"
004490,세방전지,,85.9,99.6,72.4,96.2,75.4,"<a href=""https://m.stock.naver.com/domestic/stock/004490/total"" target=""_blank"">Naver Mobile</a>"
259960,크래프톤,,85.825,100.0,94.2,95.5,53.6,"<a href=""https://m.stock.naver.com/domestic/stock/259960/total"" target=""_blank"">Naver Mobile</a>"
034590,인천도시가스,,85.3,96.4,56.0,91.1,97.7,"<a href=""https://m.stock.naver.com/domestic/stock/034590/total"" target=""_blank"">Naver Mobile</a>"
180640,한진칼,,84.8,97.3,86.9,76.0,79.0,"<a href=""https://m.stock.naver.com/domestic/stock/180640/total"" target=""_blank"">Naver Mobile</a>"
130660,한전산업,,84.60000000000001,85.2,70.4,93.8,89.0,"<a href=""https://m.stock.naver.com/domestic/stock/130660/total"" target=""_blank"">Naver Mobile</a>"
004970,신라교역,,84.6,100.0,63.8,94.7,79.9,"<a href=""https://m.stock.naver.com/domestic/stock/004970/total"" target=""_blank"">Naver Mobile</a>"
003780,진양산업,,84.425,84.5,75.4,89.0,88.8,"<a href=""https://m.stock.naver.com/domestic/stock/003780/total"" target=""_blank"">Naver Mobile</a>"
008930,한미사이언스,,84.35,92.9,69.1,88.6,86.8,"<a href=""https://m.stock.naver.com/domestic/stock/008930/total"" target=""_blank"">Naver Mobile</a>"
108320,LX세미콘,,84.325,83.3,74.5,96.9,82.6,"<a href=""https://m.stock.naver.com/domestic/stock/108320/total"" target=""_blank"">Naver Mobile</a>"
035250,강원랜드,,84.225,66.7,85.6,97.1,87.5,"<a href=""https://m.stock.naver.com/domestic/stock/035250/total"" target=""_blank"">Naver Mobile</a>"
244920,에이플러스에셋,,84.15,100.0,57.9,93.6,85.1,"<a href=""https://m.stock.naver.com/domestic/stock/244920/total"" target=""_blank"">Naver Mobile</a>"
064400,LG씨엔에스,,84.1,,69.4,92.8,90.1,"<a href=""https://m.stock.naver.com/domestic/stock/064400/total"" target=""_blank"">Naver Mobile</a>"
192080,더블유게임즈,,84.075,84.8,92.8,86.2,72.5,"<a href=""https://m.stock.naver.com/domestic/stock/192080/total"" target=""_blank"">Naver Mobile</a>"
035150,백산,,84.075,88.9,78.1,92.8,76.5,"<a href=""https://m.stock.naver.com/domestic/stock/035150/total"" target=""_blank"">Naver Mobile</a>"
012510,더존비즈온,,84.05000000000001,98.1,79.6,80.9,77.6,"<a href=""https://m.stock.naver.com/domestic/stock/012510/total"" target=""_blank"">Naver Mobile</a>"
185750,종근당,,83.925,90.5,82.4,94.1,68.7,"<a href=""https://m.stock.naver.com/domestic/stock/185750/total"" target=""_blank"">Naver Mobile</a>"
010960,삼호개발,,83.9,96.9,54.1,97.9,86.7,"<a href=""https://m.stock.naver.com/domestic/stock/010960/total"" target=""_blank"">Naver Mobile</a>"
005850,에스엘,,83.875,85.9,70.0,96.7,82.9,"<a href=""https://m.stock.naver.com/domestic/stock/005850/total"" target=""_blank"">Naver Mobile</a>"
014440,영보화학,,83.85,100.0,75.5,94.2,65.7,"<a href=""https://m.stock.naver.com/domestic/stock/014440/total"" target=""_blank"">Naver Mobile</a>"
039130,하나투어,,83.80000000000001,100.0,83.4,65.9,85.9,"<a href=""https://m.stock.naver.com/domestic/stock/039130/total"" target=""_blank"">Naver Mobile</a>"
009680,모토닉,,83.625,91.3,65.9,98.8,78.5,"<a href=""https://m.stock.naver.com/domestic/stock/009680/total"" target=""_blank"">Naver Mobile</a>"
000240,한국앤컴퍼니,,83.525,100.0,80.4,91.6,62.1,"<a href=""https://m.stock.naver.com/domestic/stock/000240/total"" target=""_blank"">Naver Mobile</a>"
058430,포스코스틸리온,,82.9,94.0,58.7,91.5,87.4,"<a href=""https://m.stock.naver.com/domestic/stock/058430/total"" target=""_blank"">Naver Mobile</a>"
024090,디씨엠,,82.89999999999999,97.8,58.8,98.8,76.2,"<a href=""https://m.stock.naver.com/domestic/stock/024090/total"" target=""_blank"">Naver Mobile</a>"
072710,농심홀딩스,,82.75,100.0,68.0,89.7,73.3,"<a href=""https://m.stock.naver.com/domestic/stock/072710/total"" target=""_blank"">Naver Mobile</a>"
005180,빙그레,,82.65,89.4,64.4,92.8,84.0,"<a href=""https://m.stock.naver.com/domestic/stock/005180/total"" target=""_blank"">Naver Mobile</a>"
035420,NAVER,,82.45,94.2,77.3,82.5,75.8,"<a href=""https://m.stock.naver.com/domestic/stock/035420/total"" target=""_blank"">Naver Mobile</a>"
025540,한국단자,,82.325,92.8,73.9,95.8,66.8,"<a href=""https://m.stock.naver.com/domestic/stock/025540/total"" target=""_blank"">Naver Mobile</a>"
012750,에스원,,82.075,67.7,68.7,98.0,93.9,"<a href=""https://m.stock.naver.com/domestic/stock/012750/total"" target=""_blank"">Naver Mobile</a>"
010640,진양폴리,,82.05000000000001,91.6,63.7,89.4,83.5,"<a href=""https://m.stock.naver.com/domestic/stock/010640/total"" target=""_blank"">Naver Mobile</a>"
334890,이지스밸류플러스리츠,,81.925,100.0,88.9,63.8,75.0,"<a href=""https://m.stock.naver.com/domestic/stock/334890/total"" target=""_blank"">Naver Mobile</a>"
348950,제이알글로벌리츠,,81.875,97.8,85.4,71.4,72.9,"<a href=""https://m.stock.naver.com/domestic/stock/348950/total"" target=""_blank"">Naver Mobile</a>"
298690,에어부산,,81.875,100.0,85.8,54.5,87.2,"<a href=""https://m.stock.naver.com/domestic/stock/298690/total"" target=""_blank"">Naver Mobile</a>"
453340,현대그린푸드,,81.73333333333333,,56.2,97.4,91.6,"<a href=""https://m.stock.naver.com/domestic/stock/453340/total"" target=""_blank"">Naver Mobile</a>"
284740,쿠쿠홈시스,,81.57500000000002,80.4,73.7,96.8,75.4,"<a href=""https://m.stock.naver.com/domestic/stock/284740/total"" target=""_blank"">Naver Mobile</a>"
051600,한전KPS,,81.45000000000002,84.7,77.9,98.8,64.4,"<a href=""https://m.stock.naver.com/domestic/stock/051600/total"" target=""_blank"">Naver Mobile</a>"
092790,넥스틸,,81.43333333333334,,80.9,84.7,78.7,"<a href=""https://m.stock.naver.com/domestic/stock/092790/total"" target=""_blank"">Naver Mobile</a>"
021240,코웨이,,81.4,80.1,76.9,86.6,82.0,"<a href=""https://m.stock.naver.com/domestic/stock/021240/total"" target=""_blank"">Naver Mobile</a>"
267260,HD현대일렉트릭,,81.325,100.0,86.7,79.4,59.2,"<a href=""https://m.stock.naver.com/domestic/stock/267260/total"" target=""_blank"">Naver Mobile</a>"
300720,한일시멘트,,81.325,91.5,71.6,91.5,70.7,"<a href=""https://m.stock.naver.com/domestic/stock/300720/total"" target=""_blank"">Naver Mobile</a>"
003300,한일홀딩스,,81.275,96.9,57.0,91.1,80.1,"<a href=""https://m.stock.naver.com/domestic/stock/003300/total"" target=""_blank"">Naver Mobile</a>"
114090,GKL,,81.275,68.4,72.5,94.7,89.5,"<a href=""https://m.stock.naver.com/domestic/stock/114090/total"" target=""_blank"">Naver Mobile</a>"
123690,한국화장품,,81.17500000000001,93.4,61.2,86.3,83.8,"<a href=""https://m.stock.naver.com/domestic/stock/123690/total"" target=""_blank"">Naver Mobile</a>"
018250,애경산업,,81.05,82.4,66.0,98.5,77.3,"<a href=""https://m.stock.naver.com/domestic/stock/018250/total"" target=""_blank"">Naver Mobile</a>"
010660,화천기계,,81.0,87.1,49.6,97.1,90.2,"<a href=""https://m.stock.naver.com/domestic/stock/010660/total"" target=""_blank"">Naver Mobile</a>"
271560,오리온,,80.95,62.6,79.2,98.3,83.7,"<a href=""https://m.stock.naver.com/domestic/stock/271560/total"" target=""_blank"">Naver Mobile</a>"
007210,벽산,,80.8,97.0,61.0,82.4,82.8,"<a href=""https://m.stock.naver.com/domestic/stock/007210/total"" target=""_blank"">Naver Mobile</a>"
090350,노루페인트,,80.75,85.3,59.4,91.2,87.1,"<a href=""https://m.stock.naver.com/domestic/stock/090350/total"" target=""_blank"">Naver Mobile</a>"
