Symbol,Name,Error,TotalScore,Growth,Profitability,Stability,Activity,Links
039030,이오테크닉스,,63.775000000000006,50.0,71.7,89.9,43.5,"<a href=""https://m.stock.naver.com/domestic/stock/039030/total"" target=""_blank"">Naver Mobile</a>"
012630,HDC,,63.775,74.3,50.0,80.4,50.4,"<a href=""https://m.stock.naver.com/domestic/stock/012630/total"" target=""_blank"">Naver Mobile</a>"
036000,예림당,,63.775,66.7,62.4,80.9,45.1,"<a href=""https://m.stock.naver.com/domestic/stock/036000/total"" target=""_blank"">Naver Mobile</a>"
131400,이브이첨단소재,,63.775,70.4,47.5,64.6,72.6,"<a href=""https://m.stock.naver.com/domestic/stock/131400/total"" target=""_blank"">Naver Mobile</a>"
411080,샌즈랩,,63.76666666666667,,42.5,73.8,75.0,"<a href=""https://m.stock.naver.com/domestic/stock/411080/total"" target=""_blank"">Naver Mobile</a>"
208340,파멥신,,63.75,83.3,40.0,81.7,50.0,"<a href=""https://m.stock.naver.com/domestic/stock/208340/total"" target=""_blank"">Naver Mobile</a>"
104040,대성파인텍,,63.75,94.0,42.5,74.7,43.8,"<a href=""https://m.stock.naver.com/domestic/stock/104040/total"" target=""_blank"">Naver Mobile</a>"
217190,제너셈,,63.74999999999999,52.9,66.7,83.3,52.1,"<a href=""https://m.stock.naver.com/domestic/stock/217190/total"" target=""_blank"">Naver Mobile</a>"
050110,캠시스,,63.724999999999994,50.0,48.4,65.3,91.2,"<a href=""https://m.stock.naver.com/domestic/stock/050110/total"" target=""_blank"">Naver Mobile</a>"
290120,DH오토리드,,63.7,52.6,47.1,74.7,80.4,"<a href=""https://m.stock.naver.com/domestic/stock/290120/total"" target=""_blank"">Naver Mobile</a>"
004430,송원산업,,63.675000000000004,50.0,59.7,82.6,62.4,"<a href=""https://m.stock.naver.com/domestic/stock/004430/total"" target=""_blank"">Naver Mobile</a>"
007120,미래아이앤지,,63.675,50.0,53.0,76.7,75.0,"<a href=""https://m.stock.naver.com/domestic/stock/007120/total"" target=""_blank"">Naver Mobile</a>"
017550,수산세보틱스,,63.675,50.0,63.5,88.6,52.6,"<a href=""https://m.stock.naver.com/domestic/stock/017550/total"" target=""_blank"">Naver Mobile</a>"
009190,대양금속,,63.675,50.0,43.5,83.5,77.7,"<a href=""https://m.stock.naver.com/domestic/stock/009190/total"" target=""_blank"">Naver Mobile</a>"
393890,더블유씨피,,63.666666666666664,,60.4,71.7,58.9,"<a href=""https://m.stock.naver.com/domestic/stock/393890/total"" target=""_blank"">Naver Mobile</a>"
001790,대한제당,,63.65,50.0,52.0,75.7,76.9,"<a href=""https://m.stock.naver.com/domestic/stock/001790/total"" target=""_blank"">Naver Mobile</a>"
034310,NICE,,63.625,59.2,50.2,69.5,75.6,"<a href=""https://m.stock.naver.com/domestic/stock/034310/total"" target=""_blank"">Naver Mobile</a>"
094360,칩스앤미디어,,63.625,51.8,64.2,74.2,64.3,"<a href=""https://m.stock.naver.com/domestic/stock/094360/total"" target=""_blank"">Naver Mobile</a>"
175140,휴먼테크놀로지,,63.625,76.5,40.0,82.9,55.1,"<a href=""https://m.stock.naver.com/domestic/stock/175140/total"" target=""_blank"">Naver Mobile</a>"
140430,카티스,,63.6,,,63.6,,"<a href=""https://m.stock.naver.com/domestic/stock/140430/total"" target=""_blank"">Naver Mobile</a>"
419530,SAMG엔터,,63.6,,42.5,73.4,74.9,"<a href=""https://m.stock.naver.com/domestic/stock/419530/total"" target=""_blank"">Naver Mobile</a>"
065510,휴비츠,,63.599999999999994,53.8,65.4,88.5,46.7,"<a href=""https://m.stock.naver.com/domestic/stock/065510/total"" target=""_blank"">Naver Mobile</a>"
083470,이엠앤아이,,63.599999999999994,50.0,42.5,76.7,85.2,"<a href=""https://m.stock.naver.com/domestic/stock/083470/total"" target=""_blank"">Naver Mobile</a>"
196450,코아시아씨엠,,63.599999999999994,50.0,43.6,70.3,90.5,"<a href=""https://m.stock.naver.com/domestic/stock/196450/total"" target=""_blank"">Naver Mobile</a>"
004310,현대약품,,63.575,61.6,54.1,83.8,54.8,"<a href=""https://m.stock.naver.com/domestic/stock/004310/total"" target=""_blank"">Naver Mobile</a>"
069920,엑시온그룹,,63.550000000000004,60.7,47.4,61.2,84.9,"<a href=""https://m.stock.naver.com/domestic/stock/069920/total"" target=""_blank"">Naver Mobile</a>"
039830,오로라,,63.55,87.1,56.3,62.0,48.8,"<a href=""https://m.stock.naver.com/domestic/stock/039830/total"" target=""_blank"">Naver Mobile</a>"
003670,포스코퓨처엠,,63.525000000000006,66.7,45.6,70.8,71.0,"<a href=""https://m.stock.naver.com/domestic/stock/003670/total"" target=""_blank"">Naver Mobile</a>"
002820,SUN&L,,63.525,62.1,42.5,69.9,79.6,"<a href=""https://m.stock.naver.com/domestic/stock/002820/total"" target=""_blank"">Naver Mobile</a>"
336370,솔루스첨단소재,,63.5,66.7,68.3,73.1,45.9,"<a href=""https://m.stock.naver.com/domestic/stock/336370/total"" target=""_blank"">Naver Mobile</a>"
101140,인바이오젠,,63.5,83.3,63.5,61.2,46.0,"<a href=""https://m.stock.naver.com/domestic/stock/101140/total"" target=""_blank"">Naver Mobile</a>"
004540,깨끗한나라,,63.5,66.7,42.5,63.8,81.0,"<a href=""https://m.stock.naver.com/domestic/stock/004540/total"" target=""_blank"">Naver Mobile</a>"
219750,한국비티비,,63.5,50.0,84.4,57.1,62.5,"<a href=""https://m.stock.naver.com/domestic/stock/219750/total"" target=""_blank"">Naver Mobile</a>"
038530,케이바이오,,63.5,59.1,40.0,86.2,68.7,"<a href=""https://m.stock.naver.com/domestic/stock/038530/total"" target=""_blank"">Naver Mobile</a>"
900270,헝셩그룹,,63.475,74.1,41.0,86.2,52.6,"<a href=""https://m.stock.naver.com/domestic/stock/900270/total"" target=""_blank"">Naver Mobile</a>"
024720,콜마홀딩스,,63.474999999999994,68.8,44.5,71.9,68.7,"<a href=""https://m.stock.naver.com/domestic/stock/024720/total"" target=""_blank"">Naver Mobile</a>"
105330,케이엔더블유,,63.474999999999994,50.0,51.6,75.3,77.0,"<a href=""https://m.stock.naver.com/domestic/stock/105330/total"" target=""_blank"">Naver Mobile</a>"
389140,포바이포,,63.45,66.7,42.5,67.9,76.7,"<a href=""https://m.stock.naver.com/domestic/stock/389140/total"" target=""_blank"">Naver Mobile</a>"
058610,에스피지,,63.45,50.0,54.2,88.9,60.7,"<a href=""https://m.stock.naver.com/domestic/stock/058610/total"" target=""_blank"">Naver Mobile</a>"
159580,제로투세븐,,63.425000000000004,50.0,49.5,96.3,57.9,"<a href=""https://m.stock.naver.com/domestic/stock/159580/total"" target=""_blank"">Naver Mobile</a>"
356860,티엘비,,63.425000000000004,50.0,44.1,77.2,82.4,"<a href=""https://m.stock.naver.com/domestic/stock/356860/total"" target=""_blank"">Naver Mobile</a>"
