Symbol,Name,TotalScore,Growth,Profitability,Stability,Activity,Error,Links
465770,STX그린로지스,95.37904651176467,100.0,93.72051116676467,79.29969374024031,80.37898692098963,,"<a href=""https://m.stock.naver.com/domestic/stock/465770/total"" target=""_blank"">Naver</a>"
005830,DB손해보험,92.11616489151682,100.0,97.79799289940057,66.66666666666667,20.0,,"<a href=""https://m.stock.naver.com/domestic/stock/005830/total"" target=""_blank"">Naver</a>"
003230,삼양식품,91.25982328083859,94.50108637428697,85.98988272004574,87.30532936173122,86.62335680163707,,"<a href=""https://m.stock.naver.com/domestic/stock/003230/total"" target=""_blank"">Naver</a>"
039130,하나투어,91.08853499430454,98.94604045731806,84.38474876574828,65.5693673442099,81.35573588111292,,"<a href=""https://m.stock.naver.com/domestic/stock/039130/total"" target=""_blank"">Naver</a>"
000810,삼성화재,90.98048831125922,100.0,94.82464025200106,62.74328248258954,20.0,,"<a href=""https://m.stock.naver.com/domestic/stock/000810/total"" target=""_blank"">Naver</a>"
000240,한국앤컴퍼니,89.67872941555734,93.96248508045896,84.8977355534679,92.40900129060343,56.71808699709284,,"<a href=""https://m.stock.naver.com/domestic/stock/000240/total"" target=""_blank"">Naver</a>"
456040,OCI,88.47243932948695,100.0,67.44948012896172,77.33978146924565,77.52182300643874,,"<a href=""https://m.stock.naver.com/domestic/stock/456040/total"" target=""_blank"">Naver</a>"
453340,현대그린푸드,87.31405257233033,98.69070809903629,55.151578124865985,96.71030409056377,92.81405545271353,,"<a href=""https://m.stock.naver.com/domestic/stock/453340/total"" target=""_blank"">Naver</a>"
071970,HD현대마린엔진,86.94165581395443,95.64035060319223,76.83157810403078,74.60179464172408,57.78742923717978,,"<a href=""https://m.stock.naver.com/domestic/stock/071970/total"" target=""_blank"">Naver</a>"
004970,신라교역,86.71924021745254,96.05069485693203,61.751873299441705,96.12136671385116,80.77436614095586,,"<a href=""https://m.stock.naver.com/domestic/stock/004970/total"" target=""_blank"">Naver</a>"
005430,한국공항,86.35165906234765,90.28775748407317,70.90146268512558,99.20493558319674,90.6629068460535,,"<a href=""https://m.stock.naver.com/domestic/stock/005430/total"" target=""_blank"">Naver</a>"
057050,현대홈쇼핑,86.22433652782192,99.34573564212376,56.38902664463803,94.65783782660503,61.077093974553016,,"<a href=""https://m.stock.naver.com/domestic/stock/057050/total"" target=""_blank"">Naver</a>"
267260,HD현대일렉트릭,85.94719022265915,91.08037943353092,84.34190209443604,73.24164514975963,57.78645047911259,,"<a href=""https://m.stock.naver.com/domestic/stock/267260/total"" target=""_blank"">Naver</a>"
016360,삼성증권,85.73090115210144,100.0,93.42052202861737,13.757706449470946,20.0,,"<a href=""https://m.stock.naver.com/domestic/stock/016360/total"" target=""_blank"">Naver</a>"
005940,NH투자증권,85.64697972332483,100.0,91.26327580099719,18.311607730755387,20.0,,"<a href=""https://m.stock.naver.com/domestic/stock/005940/total"" target=""_blank"">Naver</a>"
082640,동양생명,85.3033143672536,98.0633282998313,78.85665588922058,57.511534150496836,20.0,,"<a href=""https://m.stock.naver.com/domestic/stock/082640/total"" target=""_blank"">Naver</a>"
014440,영보화학,85.02633658266865,90.19614680779252,70.69960884902157,99.71237949258591,65.25016672958311,,"<a href=""https://m.stock.naver.com/domestic/stock/014440/total"" target=""_blank"">Naver</a>"
123690,한국화장품,84.92671086863129,90.80825302952366,67.89161907475047,91.700477165459,85.97613131367191,,"<a href=""https://m.stock.naver.com/domestic/stock/123690/total"" target=""_blank"">Naver</a>"
