Symbol,Name,TotalScore,Growth,Profitability,Stability,Activity,Error,Links
487830,신한제15호스팩,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/487830/total"" target=""_blank"">Naver Mobile</a>"
126730,코칩,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/126730/total"" target=""_blank"">Naver Mobile</a>"
044990,에이치엔에스하이텍,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/044990/total"" target=""_blank"">Naver Mobile</a>"
482520,교보16호스팩,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/482520/total"" target=""_blank"">Naver Mobile</a>"
431190,케이쓰리아이,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/431190/total"" target=""_blank"">Naver Mobile</a>"
456070,이엔셀,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/456070/total"" target=""_blank"">Naver Mobile</a>"
492220,KB제31호스팩,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/492220/total"" target=""_blank"">Naver Mobile</a>"
475400,씨메스,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/475400/total"" target=""_blank"">Naver Mobile</a>"
478390,KB제29호스팩,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/478390/total"" target=""_blank"">Naver Mobile</a>"
389680,유디엠텍,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/389680/total"" target=""_blank"">Naver Mobile</a>"
394800,쓰리빌리언,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/394800/total"" target=""_blank"">Naver Mobile</a>"
478560,블랙야크아이앤씨,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/478560/total"" target=""_blank"">Naver Mobile</a>"
460940,피앤에스로보틱스,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/460940/total"" target=""_blank"">Naver Mobile</a>"
458650,성우,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/458650/total"" target=""_blank"">Naver Mobile</a>"
466410,사이냅소프트,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/466410/total"" target=""_blank"">Naver Mobile</a>"
464500,아이언디바이스,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/464500/total"" target=""_blank"">Naver Mobile</a>"
464080,에스오에스랩,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/464080/total"" target=""_blank"">Naver Mobile</a>"
462510,라메디텍,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/462510/total"" target=""_blank"">Naver Mobile</a>"
487720,키움제10호스팩,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/487720/total"" target=""_blank"">Naver Mobile</a>"
450330,하스,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/450330/total"" target=""_blank"">Naver Mobile</a>"
387570,파인메딕스,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/387570/total"" target=""_blank"">Naver Mobile</a>"
464280,티디에스팜,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/464280/total"" target=""_blank"">Naver Mobile</a>"
482690,대신밸런스제19호스팩,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/482690/total"" target=""_blank"">Naver Mobile</a>"
088340,유라클,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/088340/total"" target=""_blank"">Naver Mobile</a>"
477760,DB금융스팩12호,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/477760/total"" target=""_blank"">Naver Mobile</a>"
469750,아이비젼웍스,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/469750/total"" target=""_blank"">Naver Mobile</a>"
