Symbol,Name,Error,TotalScore,Growth,Profitability,Stability,Activity,Links
431190,케이쓰리아이,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/431190/total"" target=""_blank"">Naver Mobile</a>"
474490,유안타제16호스팩,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/474490/total"" target=""_blank"">Naver Mobile</a>"
464080,에스오에스랩,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/464080/total"" target=""_blank"">Naver Mobile</a>"
457370,한켐,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/457370/total"" target=""_blank"">Naver Mobile</a>"
477760,DB금융스팩12호,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/477760/total"" target=""_blank"">Naver Mobile</a>"
456070,이엔셀,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/456070/total"" target=""_blank"">Naver Mobile</a>"
483650,달바글로벌,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/483650/total"" target=""_blank"">Naver Mobile</a>"
461030,아이엠비디엑스,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/461030/total"" target=""_blank"">Naver Mobile</a>"
464500,아이언디바이스,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/464500/total"" target=""_blank"">Naver Mobile</a>"
476080,M83,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/476080/total"" target=""_blank"">Naver Mobile</a>"
464280,티디에스팜,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/464280/total"" target=""_blank"">Naver Mobile</a>"
461300,아이스크림미디어,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/461300/total"" target=""_blank"">Naver Mobile</a>"
469750,아이비젼웍스,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/469750/total"" target=""_blank"">Naver Mobile</a>"
482520,교보16호스팩,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/482520/total"" target=""_blank"">Naver Mobile</a>"
458870,씨어스테크놀로지,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/458870/total"" target=""_blank"">Naver Mobile</a>"
474930,신한제13호스팩,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/474930/total"" target=""_blank"">Naver Mobile</a>"
126730,코칩,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/126730/total"" target=""_blank"">Naver Mobile</a>"
478780,대신밸런스제18호스팩,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/478780/total"" target=""_blank"">Naver Mobile</a>"
347850,디앤디파마텍,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/347850/total"" target=""_blank"">Naver Mobile</a>"
462510,라메디텍,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/462510/total"" target=""_blank"">Naver Mobile</a>"
477380,미래에셋비전스팩4호,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/477380/total"" target=""_blank"">Naver Mobile</a>"
477470,미래에셋비전스팩5호,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/477470/total"" target=""_blank"">Naver Mobile</a>"
451250,삐아,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/451250/total"" target=""_blank"">Naver Mobile</a>"
