Symbol,Name,TotalScore,Growth,Profitability,Stability,Activity,Links
123860,아나패스,92.9,100.0,83.7,97.8,90.1,"<a href=""https://m.stock.naver.com/domestic/stock/123860/total"" target=""_blank"">Naver Mobile</a>"
402340,SK스퀘어,92.75,,90.0,95.5,,"<a href=""https://m.stock.naver.com/domestic/stock/402340/total"" target=""_blank"">Naver Mobile</a>"
408920,메쎄이상,92.575,100.0,89.2,98.8,82.3,"<a href=""https://m.stock.naver.com/domestic/stock/408920/total"" target=""_blank"">Naver Mobile</a>"
005710,대원산업,92.43333333333334,100.0,80.0,97.3,,"<a href=""https://m.stock.naver.com/domestic/stock/005710/total"" target=""_blank"">Naver Mobile</a>"
340570,티앤엘,92.14999999999999,100.0,96.3,96.1,76.2,"<a href=""https://m.stock.naver.com/domestic/stock/340570/total"" target=""_blank"">Naver Mobile</a>"
003350,한국화장품제조,91.775,100.0,85.5,98.2,83.4,"<a href=""https://m.stock.naver.com/domestic/stock/003350/total"" target=""_blank"">Naver Mobile</a>"
018290,브이티,91.50000000000001,99.4,93.9,97.9,74.8,"<a href=""https://m.stock.naver.com/domestic/stock/018290/total"" target=""_blank"">Naver Mobile</a>"
123330,제닉,91.5,100.0,83.3,93.3,89.4,"<a href=""https://m.stock.naver.com/domestic/stock/123330/total"" target=""_blank"">Naver Mobile</a>"
260970,에스앤디,91.5,100.0,84.1,98.6,83.3,"<a href=""https://m.stock.naver.com/domestic/stock/260970/total"" target=""_blank"">Naver Mobile</a>"
058970,엠로,90.94999999999999,100.0,82.6,97.6,83.6,"<a href=""https://m.stock.naver.com/domestic/stock/058970/total"" target=""_blank"">Naver Mobile</a>"
263860,지니언스,90.525,100.0,88.1,89.2,84.8,"<a href=""https://m.stock.naver.com/domestic/stock/263860/total"" target=""_blank"">Naver Mobile</a>"
003230,삼양식품,90.47500000000001,100.0,85.7,89.9,86.3,"<a href=""https://m.stock.naver.com/domestic/stock/003230/total"" target=""_blank"">Naver Mobile</a>"
011200,HMM,89.925,100.0,91.9,89.8,78.0,"<a href=""https://m.stock.naver.com/domestic/stock/011200/total"" target=""_blank"">Naver Mobile</a>"
002290,삼일기업공사,89.85,100.0,68.1,98.3,93.0,"<a href=""https://m.stock.naver.com/domestic/stock/002290/total"" target=""_blank"">Naver Mobile</a>"
045340,토탈소프트,89.64999999999999,100.0,96.8,90.6,71.2,"<a href=""https://m.stock.naver.com/domestic/stock/045340/total"" target=""_blank"">Naver Mobile</a>"
119850,지엔씨에너지,89.55,100.0,84.0,91.5,82.7,"<a href=""https://m.stock.naver.com/domestic/stock/119850/total"" target=""_blank"">Naver Mobile</a>"
014940,오리엔탈정공,89.325,100.0,82.3,85.2,89.8,"<a href=""https://m.stock.naver.com/domestic/stock/014940/total"" target=""_blank"">Naver Mobile</a>"
178780,일월지엠엘,89.0,100.0,78.2,90.0,87.8,"<a href=""https://m.stock.naver.com/domestic/stock/178780/total"" target=""_blank"">Naver Mobile</a>"
