Symbol,Name,Error,TotalScore,Growth,Profitability,Stability,Momentum,Price,MarketCap,EPS,PreviousEPS,LatestQuarterEPS,PreviousQuarterEPS,SameQuarterLastYearEPS,EPS_Growth,PreviousQuarterEPSGrowth,SameQuarterLastYearEPSGrowth,LatestBPS,PER,PBR,ROE,PEG,Raw_Adjusted_Growth,Adjusted_EPS_Growth,Raw_PEG,Adjusted_PEG,EPS_Base_Flag,Links
278470,에이피알,,80.00208333333333,78.73333333333333,80.85000000000001,90.03333333333335,70.39166666666667,404000.0,151250.0,9535.0,3565.0,3132.0,2638.0,1334.0,167.46143057503505,18.72630780894617,134.7826086956522,13531.0,42.37021499737808,29.8573645702461,70.46781464784569,0.2530147679491673,167.46143057503505,167.46143057503505,0.2530147679491673,0.2530147679491673,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/278470/total"" target=""_blank"">Naver Mobile</a>"
003230,삼양식품,,78.43958333333333,75.75833333333334,74.25833333333334,83.85000000000001,79.89166666666667,1444000.0,108777.0,57735.0,40436.0,19198.0,12689.0,13160.0,42.78118508259966,51.29639845535503,45.88145896656535,186580.0,25.010825322594613,7.739307535641548,30.943831064422767,0.5846220780070731,42.78118508259966,42.78118508259966,0.5846220780070731,0.5846220780070731,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/003230/total"" target=""_blank"">Naver Mobile</a>"
003350,한국화장품제조,,76.37291666666665,72.14999999999999,72.05833333333334,89.39166666666667,71.89166666666667,10290.0,2332.0,1309.0,1069.0,332.0,182.0,231.0,22.45088868101029,82.41758241758241,43.722943722943725,4906.0,7.86096256684492,2.097431716265797,26.681614349775785,0.3501403743315508,22.45088868101029,22.45088868101029,0.3501403743315508,0.3501403743315508,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/003350/total"" target=""_blank"">Naver Mobile</a>"
439260,대한조선,,75.80624999999999,50.0,80.7,84.575,87.95,69400.0,26737.0,8466.0,,2009.0,2043.0,,,-1.6642192853646598,,29442.0,8.197495865816206,2.357176822226751,28.754840024454857,,,,,,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/439260/total"" target=""_blank"">Naver Mobile</a>"
483650,달바글로벌,,74.98571428571428,63.5,77.32857142857142,90.58571428571429,68.52857142857142,236500.0,29377.0,7296.0,,2925.0,1649.0,1992.0,,77.38023044269255,46.83734939759036,18666.0,32.41502192982456,12.670095360548592,39.08711025393764,,,,,,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/483650/total"" target=""_blank"">Naver Mobile</a>"
002960,한국쉘석유,,74.79166666666666,49.916666666666664,76.65833333333333,94.89999999999999,77.69166666666666,580000.0,7540.0,38435.0,29500.0,10807.0,9322.0,9470.0,30.28813559322034,15.930057927483373,14.118268215417107,84777.0,15.090412384545337,6.841478231124007,45.33658893331918,0.4982285006648992,30.28813559322034,30.28813559322034,0.4982285006648992,0.4982285006648992,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/002960/total"" target=""_blank"">Naver Mobile</a>"
271560,오리온,,74.67954545454546,48.791666666666664,73.51666666666667,97.29166666666667,79.11818181818181,141000.0,55746.0,10190.0,13533.0,3149.0,2678.0,2639.0,-24.70257888125323,17.58775205377147,19.32550208412277,101410.0,13.837095191364082,1.3903954245143477,10.048318706241988,,-24.70257888125323,-24.70257888125323,,,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/271560/total"" target=""_blank"">Naver Mobile</a>"
005430,한국공항,,74.67916666666666,62.416666666666664,54.90833333333333,94.38333333333333,87.00833333333333,68800.0,2178.0,14215.0,12328.0,5025.0,2542.0,3615.0,15.306619078520441,97.67899291896146,39.004149377593365,131873.0,4.839957791065776,0.5217140733887907,10.779310397124506,0.31620031610100097,15.306619078520441,15.306619078520441,0.31620031610100097,0.31620031610100097,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/005430/total"" target=""_blank"">Naver Mobile</a>"
030190,NICE평가정보,,74.38958333333332,51.30833333333334,74.27499999999999,94.63333333333333,77.34166666666667,14880.0,8766.0,1414.0,1315.0,427.0,230.0,323.0,7.52851711026616,85.65217391304348,32.19814241486068,7901.0,10.523338048090523,1.8833059106442223,17.89646880141754,1.3977969225493978,7.52851711026616,7.52851711026616,1.3977969225493978,1.3977969225493978,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/030190/total"" target=""_blank"">Naver Mobile</a>"
114090,GKL,,74.27291666666667,58.35,65.26666666666667,85.65833333333335,87.81666666666666,12610.0,7800.0,744.0,630.0,244.0,-11.0,260.0,18.095238095238095,2318.1818181818185,-6.153846153846154,7023.0,16.948924731182796,1.7955289762209883,10.593763348996156,0.9366511035653651,18.095238095238095,18.095238095238095,0.9366511035653651,0.9366511035653651,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/114090/total"" target=""_blank"">Naver Mobile</a>"
